Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Due to urgent requirement of Coagulation Analyzer to response the treatment of Dengue, DOHS has decided to procure directly from the market (Sudip International Pvt Ltd) to meet the urgent need.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00266444,"January 4, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Transaction Advisory Services under SRCTIP,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00266092,"January 2, 2024"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement of consulting service as a Procurement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00266102,"January 2, 2024"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement of consulting service as a Financial Policy Improvement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00266021,"January 1, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"DOHS is planning to procure Paracetamol 500 mg- 10,000,000 tab and ORS-500,000 Sachet from Nepal Drug Limited (Govt Owned Entity).",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00265873,"December 30, 2023"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"UPGRADATION OF DOBILLA – BAGMARA – TIKLANG – BADARKOT - LAMGADHI-
CHAPLANG – UPALLO PUDITAR – TALLO PUDITAR – JHIGATE (JANAJAGRITI MA VI)

TAGAREGAUDA ROAD, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00265068,"December 25, 2023"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"Upgradation of Jutbikash Chowk (Mahendra Highway)- Taltaliya Road and Bargachhi Chowk (Koshi Highway)-Mahendra School- Taltalatiya Road, Itahari",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00264777,"December 21, 2023"
Accelerating Transport and Trade Connectivity in Eastern South Asia – Nepal Phase 1 Project - P177902,http://projects.worldbank.org/en/projects-operations/project-detail/P177902,"Upgrading of Improvement of Butwal-Gorusinghe-Chanauta Road and Bridges [CH: 590+000 Km to CH: 640+000 Km, East-West Highway]",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00264450,"December 20, 2023"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Command Area Development Works of Tertiary Canals and Water Courses (CAD-2) in Rani Irrigation System (Package 2),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00264043,"December 18, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of furnitures and fixtures for ECO Dadeldhura,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00263032,"December 13, 2023"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"Upgradation of Pokharapali- Panditpur Road, Ramgram",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00262779,"December 12, 2023"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,"Procurement of Smart Board, Server, Desktop, Laptop, Color Printer and Heavy Duty Copier
(Smart Board -4 Sets, Desktop- 10 Sets, Laptop- 5 Sets, Color Printer- 1 Set and Heavy Duty Copier- 1Set)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00262047,"December 8, 2023"
Upper Arun Hydroelectric Project - P178722,http://projects.worldbank.org/en/projects-operations/project-detail/P178722,"Impact Assessment of Upper Arun Hydropower Project on Protected Areas and Terrestrial Biodiversity
Selection of Red Panda Network",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261779,"December 7, 2023"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Implementation of CAD in Jamara Pilot Area,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261082,"December 4, 2023"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Implementation of CAD in Rani Pilot Area,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261100,"December 4, 2023"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Implementation of CAD in Kulariya Pilot Area,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261213,"December 4, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Procurement of Projectors (2 Nos.) for ECO, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261246,"December 4, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Installation of Solar Set for Power Backup at ECO, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00261262,"December 4, 2023"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Poultry for Home Nutrition Garden Groups,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00255775,"November 30, 2023"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,"Effectiveness survey of crop and livestock Farm Field School (FFS), Farm Business School (FBS) and Nutrition Field School (NFS) of project.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00260690,"November 30, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Furniture and Furnishing: ECO, Dhankuta: Ofice table and Chair, Sofa, Steel Cabinet, Carpet and Curtains",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00260155,"November 28, 2023"
Provincial and Local Roads Improvement Program Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Social Development Expert (SDE); Contract ID: PLRIP/CPCU/CS/INDV/03/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259820,"November 26, 2023"
Provincial and Local Roads Improvement Program Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Environmental Expert (EE); Contract ID:PLRIP/CPCU/CS/INDV/02/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259824,"November 26, 2023"
Provincial and Local Roads Improvement Program Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Program & Quality Managment Expert (PQME) at CPCU; Contract ID:PLRIP/CPCU/CS/INDV/01/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259846,"November 26, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of Inverter with batteries (1set) for ECO Dadeldhura,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259283,"November 23, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of DSLR camera, Led TV and Refrigerator",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259307,"November 23, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Supply, delivery and Installation of CCTV system (1set) for ECO Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259326,"November 23, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of Ac (2 set) for ECO Dadeldhura,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259355,"November 23, 2023"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,"Hiring of individual consultant, System Analyst for Integrated social registry (ISR)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00258078,"November 22, 2023"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Senior Environmental Safeguard Specialist for FPP,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259038,"November 22, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Consultancy services for preparation of DPR for Municipal Agriculture and Livestock Service Centers (MALSC) under Bardibas.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259051,"November 22, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Consulting services for preparation of DPR for Municipal Agriculture and Livestock Service Centers (MALSC) under ECO, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00259091,"November 22, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00256198,"November 17, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00258113,"November 17, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of Scooter- 2 Nos. (150 CC) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00258149,"November 17, 2023"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Dhankuta,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00258198,"November 17, 2023"
